OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,Shape__Area,Shape__Length
22183,2007,CA,CDF,SLU,POZO,00006682,8/30/2007 12:00:00 AM,8/30/2007 12:00:00 AM,1,1,1,19.97121,,,,,00000000,2000,121809.83984375,1565.52305879736
22184,2007,CA,CDF,SLU,MORRO,00007061,9/12/2007 12:00:00 AM,9/12/2007 12:00:00 AM,11,1,1,12.73619,,,,,00000000,2000,77853.7265625,1639.93781918566
22185,2007,CA,CDF,SLU,POLY / A-4 7,00007753,9/10/2007 12:00:00 AM,9/12/2007 12:00:00 AM,14,1,1,55.68728,,,,,00000000,2000,339241.8828125,3146.79967552715
22186,2007,CA,CDF,SLU,GRADE,00009164,12/3/2007 12:00:00 AM,12/3/2007 12:00:00 AM,2,1,1,97.13125,,,,,00000000,2000,592006.9765625,4691.9987587382
22187,2007,CA,CDF,SLU,DIABLO,00000338,1/16/2007 12:00:00 AM,1/16/2007 12:00:00 AM,15,1,1,332.3627,,,,,00000000,2000,2020600.3828125,7845.34138038872
22188,2007,CA,CDF,TCU,MURRAY,00004493,5/25/2007 12:00:00 AM,5/26/2007 12:00:00 AM,5,1,1,102.8672,,,,,00000331,2000,675201.30078125,4135.81661434138
22189,2007,CA,CDF,TCU,DUNTON,00004883,6/4/2007 12:00:00 AM,6/4/2007 12:00:00 AM,2,1,1,208.2366,,,,,00000371,2000,1356873,6068.94101789754
22190,2007,CA,CDF,TCU,SHELL,00005881,7/2/2007 12:00:00 AM,7/3/2007 12:00:00 AM,14,1,1,101.4226,,,,,00000470,2000,659317.48046875,4369.48632604059
22191,2007,CA,CDF,TCU,GASSNER,00006680,7/21/2007 12:00:00 AM,7/21/2007 12:00:00 AM,14,1,1,228.9826,,,,,00000550,2000,1499371.32421875,6614.70336660632
22192,2007,CA,CDF,TCU,GOLDEN,00007615,8/16/2007 12:00:00 AM,8/17/2007 12:00:00 AM,10,1,1,65.62988,main fire,,,,00000652,2000,430980.1484375,3626.24446501996
22193,2007,CA,CDF,TCU,ORVIS,00007609,8/16/2007 12:00:00 AM,8/16/2007 12:00:00 AM,10,1,1,534.9832,,,,,00000651,2000,3486664.875,17324.8015389468
22194,2007,CA,CDF,TCU,ITALIAN,00007830,8/22/2007 12:00:00 AM,8/28/2007 12:00:00 AM,14,1,1,102.2803,20090305,,,,00000666,2000,668767.4375,3817.51037021733
22195,2007,CA,CDF,TCU,SHELLEY,00008668,9/15/2007 12:00:00 AM,9/15/2007 12:00:00 AM,2,6,1,103.7546,"total swag perimeter, drawn 5 months later, Feb '08",,,,00000746,2000,678728.5546875,3525.63458021573
22196,2007,CA,CDF,TGU,"CONNER, W",00004489,6/28/2007 12:00:00 AM,6/28/2007 12:00:00 AM,2,1,1,456.7993,Grass,,,,00010094,2000,3142782.984375,8977.71958702293
22197,2007,CA,CDF,TGU,DYE,00004063,6/13/2007 12:00:00 AM,6/13/2007 12:00:00 AM,4,1,1,386.4487,Grass,,,,00000056,2000,2687053.91796875,9045.23631243812
22198,2007,CA,CDF,TGU,LYMAN,00007946,11/7/2007 12:00:00 AM,11/7/2007 12:00:00 AM,14,6,1,18.7599,Timber,,,,00000145,2000,130619.8671875,1590.86058917602
22199,2007,CA,CDF,TUU,HORSE,00057010,5/28/2007 12:00:00 AM,5/30/2007 12:00:00 AM,7,1,1,434.789,,,,,00000000,2000,2721073.890625,7918.60768362246
22200,2007,CA,CDF,TUU,SHANNON,00059400,6/3/2007 12:00:00 AM,6/4/2007 12:00:00 AM,2,2,1,2140.999,,,,,00000000,2000,13260188.3671875,22355.8414277404
22201,2007,CA,USF,MDF,BACKSCATTER,00000039,7/10/2007 12:00:00 AM,7/10/2007 12:00:00 AM,1,1,1,68.51701, ,,,,00000039,2000,497958.578125,4647.12337249838
22202,2007,CA,USF,MNF,BARTLETT 2,00000023,9/11/2007 12:00:00 AM,9/11/2007 12:00:00 AM,9,8,1,36.44079, ,,,,00000023,2000,245779.38671875,4181.57211005735
22203,2007,CA,USF,SRF,BEAR,00000020,7/11/2007 12:00:00 AM,7/12/2007 12:00:00 AM,1,7,1,9.873552, ,SEVEN ELEVEN COMPLEX,00001050,,00000020,2000,72054.65625,1210.88698683985
22204,2007,CA,USF,INF,BERNASCONI,00000001,4/12/2007 12:00:00 AM,4/12/2007 12:00:00 AM,4,1,1,50.22721, ,,,,00000001,2000,320525.90234375,2838.68131624071
22205,2007,CA,USF,MDF,BLACK,00000033,7/10/2007 12:00:00 AM,7/10/2007 12:00:00 AM,1,1,1,74.38044, ,,,,00000033,2000,534156.4375,3477.39985442158
22206,2007,CA,USF,SHF,BOLLI,00000034,5/1/2007 12:00:00 AM,5/27/2007 12:00:00 AM,5,2,1,728.8432, ,,,,00000034,2000,5184061.328125,13150.2179624143
22207,2007,CA,CCO,LAC,BUCKWEED,00000167,10/21/2007 12:00:00 AM,10/21/2007 12:00:00 AM,8,2,1,38347.47,LACo # 232185,,,,00000167,2000,229093053.527344,113267.992876298
22208,2007,CA,USF,TNF,CALPINE,00000025,6/23/2007 12:00:00 AM,6/28/2007 12:00:00 AM,5,1,1,45.81102, ,,,,00000025,2000,313347.3828125,3663.48626137005
22209,2007,CA,USF,SHF,CHIPMUNK,00000087,8/30/2007 12:00:00 AM,9/2/2007 12:00:00 AM,1,1,1,8.338897, ,,,,00000087,2000,59575.59765625,960.225738326904
22210,2007,CA,USF,KNF,CLEAR,00000088,7/10/2007 12:00:00 AM,8/4/2007 12:00:00 AM,1,7,1,37.9603,TOTAL COMPLEX COST 18.6M,ELK COMPLEX,00003176,,00000088,2000,275673.2265625,2675.09459097937
